seq,orderid,orderdate,shipdate,customerid,productid,quantity,discount
1960,CA-2017-1109052,2017-09-10 06:01:44,2017-09-15 06:01:44,RW-19690,OFF-AP-10004785,3,0.00
1961,CA-2017-1109053,2017-09-10 07:34:57,2017-09-15 07:34:57,RW-19690,TEC-AC-10003023,5,0.00
1962,CA-2017-1109054,2017-09-10 08:51:56,2017-09-15 08:51:56,RW-19690,TEC-AC-10002217,6,0.00
1963,CA-2017-1109055,2017-09-10 09:51:40,2017-09-15 09:51:40,RW-19690,OFF-BI-10002954,3,0.00
1964,CA-2017-1109056,2017-09-10 10:38:39,2017-09-15 10:38:39,RW-19690,OFF-PA-10002586,5,0.00
1965,CA-2017-1109057,2017-09-10 11:45:08,2017-09-15 11:45:08,RW-19690,OFF-ST-10000025,3,0.00
1966,CA-2017-1109058,2017-09-10 12:17:30,2017-09-15 12:17:30,RW-19690,OFF-AP-10003281,2,0.00
1967,CA-2017-1658411,2017-12-21 05:42:29,2017-12-28 05:42:29,DB-13210,TEC-PH-10002103,3,0.00
1968,CA-2017-1658412,2017-12-21 06:26:17,2017-12-28 06:26:17,DB-13210,OFF-SU-10000898,5,0.00
1969,CA-2017-1658413,2017-12-21 07:29:29,2017-12-28 07:29:29,DB-13210,OFF-PA-10001144,3,0.00
1970,CA-2017-1174851,2017-09-23 12:14:18,2017-09-29 12:14:18,BD-11320,TEC-AC-10004659,4,0.00
1971,CA-2017-1402421,2017-05-06 10:34:26,2017-05-11 10:34:26,ML-17755,OFF-AR-10004752,3,0.20
1972,CA-2017-1402422,2017-05-06 11:24:44,2017-05-11 11:24:44,ML-17755,TEC-AC-10004659,7,0.20
1973,CA-2014-1489501,2014-12-14 10:33:11,2014-12-19 10:33:11,JD-16015,OFF-BI-10001249,4,0.80
1974,CA-2014-1489502,2014-12-14 11:20:11,2014-12-19 11:20:11,JD-16015,OFF-FA-10003059,2,0.20
1975,CA-2014-1489503,2014-12-14 12:01:06,2014-12-19 12:01:06,JD-16015,TEC-AC-10002718,3,0.20
1976,CA-2014-1104081,2014-10-18 06:10:08,2014-10-20 06:10:08,AS-10225,OFF-ST-10001522,3,0.00
1977,CA-2014-1104082,2014-10-18 07:35:23,2014-10-20 07:35:23,AS-10225,TEC-PH-10002352,5,0.00
1978,CA-2014-1104083,2014-10-18 08:30:26,2014-10-20 08:30:26,AS-10225,FUR-CH-10003774,6,0.00
1979,CA-2015-1099391,2015-05-08 05:37:48,2015-05-12 05:37:48,AA-10375,OFF-AR-10000127,2,0.20
1980,CA-2016-1126691,2016-04-14 08:33:27,2016-04-14 08:33:27,KT-16465,FUR-CH-10004086,4,0.20
1981,CA-2016-1126692,2016-04-14 09:50:59,2016-04-14 09:50:59,KT-16465,OFF-ST-10001228,4,0.20
1982,CA-2015-1195921,2015-12-14 01:50:01,2015-12-16 01:50:01,MM-18280,OFF-BI-10004187,2,0.00
1983,CA-2014-1227491,2014-12-03 11:39:45,2014-12-09 11:39:45,NG-18430,TEC-PH-10003811,4,0.00
1984,CA-2014-1647211,2014-11-25 07:09:03,2014-11-27 07:09:03,LW-16825,OFF-AP-10000240,6,0.00
1985,CA-2014-1647212,2014-11-25 08:43:42,2014-11-27 08:43:42,LW-16825,FUR-FU-10001940,3,0.00
1986,CA-2014-1647213,2014-11-25 09:27:56,2014-11-27 09:27:56,LW-16825,OFF-PA-10000575,4,0.00
1987,CA-2016-1474171,2016-07-25 06:37:25,2016-07-27 06:37:25,CB-12415,TEC-CO-10001449,4,0.40
1988,CA-2015-1275091,2015-11-09 07:07:56,2015-11-13 07:07:56,AS-10090,OFF-BI-10002393,3,0.00
1989,CA-2015-1275092,2015-11-09 08:07:46,2015-11-13 08:07:46,AS-10090,FUR-TA-10002855,7,0.00
1990,CA-2015-1275093,2015-11-09 09:10:11,2015-11-13 09:10:11,AS-10090,OFF-EN-10000781,3,0.00
1991,CA-2015-1275094,2015-11-09 10:04:12,2015-11-13 10:04:12,AS-10090,OFF-PA-10002160,3,0.00
1992,CA-2017-1113741,2017-02-24 14:31:53,2017-02-28 14:31:53,CB-12415,OFF-BI-10004970,4,0.70
1993,CA-2017-1336481,2017-06-25 12:45:59,2017-07-02 12:45:59,ML-17755,OFF-LA-10003923,6,0.20
1994,CA-2017-1336482,2017-06-25 13:03:55,2017-07-02 13:03:55,ML-17755,OFF-AR-10002257,2,0.20
1995,CA-2017-1336483,2017-06-25 14:59:43,2017-07-02 14:59:43,ML-17755,OFF-FA-10004395,3,0.20
1996,US-2017-1472211,2017-12-02 08:16:49,2017-12-04 08:16:49,JS-16030,OFF-AP-10002534,5,0.80
1997,US-2017-1472212,2017-12-02 09:59:02,2017-12-04 09:59:02,JS-16030,FUR-FU-10004020,4,0.60
1998,CA-2014-1319051,2014-02-06 04:03:26,2014-02-09 04:03:26,ND-18460,OFF-LA-10002787,4,0.00
1999,CA-2014-1319052,2014-02-06 05:34:09,2014-02-09 05:34:09,ND-18460,TEC-PH-10003645,1,0.00
2000,CA-2014-1319053,2014-02-06 06:51:25,2014-02-09 06:51:25,ND-18460,TEC-PH-10001615,5,0.00
2001,CA-2017-1661281,2017-04-11 04:16:55,2017-04-18 04:16:55,LW-17215,TEC-AC-10001767,5,0.00
2002,CA-2017-1661282,2017-04-11 05:31:26,2017-04-18 05:31:26,LW-17215,OFF-AR-10001221,7,0.00
2003,CA-2017-1635101,2017-12-25 13:38:43,2017-12-28 13:38:43,JW-15955,OFF-ST-10000563,3,0.00
2004,CA-2017-1635102,2017-12-25 14:15:48,2017-12-28 14:15:48,JW-15955,FUR-CH-10001146,5,0.00
2005,US-2017-1430281,2017-04-11 00:17:19,2017-04-18 00:17:19,SC-20050,OFF-BI-10004738,3,0.80
2006,CA-2014-1111501,2014-12-31 09:44:19,2015-01-04 09:44:19,RW-19630,OFF-AR-10000034,7,0.00
2007,CA-2014-1111502,2014-12-31 10:45:39,2015-01-04 10:45:39,RW-19630,TEC-AC-10000290,7,0.00
2008,CA-2017-1653861,2017-08-03 03:14:09,2017-08-04 03:14:09,CM-12190,FUR-BO-10003034,2,0.30
2009,CA-2014-1164071,2014-11-15 03:04:33,2014-11-21 03:04:33,JF-15190,OFF-AR-10001315,3,0.20
2010,CA-2014-1164072,2014-11-15 04:13:06,2014-11-21 04:13:06,JF-15190,OFF-AP-10002118,2,0.20
2011,CA-2014-1164073,2014-11-15 05:31:09,2014-11-21 05:31:09,JF-15190,OFF-PA-10002137,4,0.20
2012,CA-2015-1557611,2015-12-11 09:51:09,2015-12-11 09:51:09,SC-20800,TEC-AC-10001606,2,0.20
2013,CA-2015-1557612,2015-12-11 10:34:49,2015-12-11 10:34:49,SC-20800,OFF-ST-10000943,3,0.20
2014,CA-2016-1459051,2016-09-18 02:49:05,2016-09-23 02:49:05,AM-10705,FUR-CH-10001854,1,0.00
2015,CA-2016-1459052,2016-09-18 03:55:28,2016-09-23 03:55:28,AM-10705,OFF-PA-10000533,2,0.00
2016,CA-2016-1459053,2016-09-18 04:36:26,2016-09-23 04:36:26,AM-10705,OFF-ST-10003716,4,0.00
2017,CA-2015-1131101,2015-03-19 01:17:59,2015-03-23 01:17:59,BK-11260,OFF-BI-10000088,2,0.20
2018,CA-2015-1131102,2015-03-19 02:15:20,2015-03-23 02:15:20,BK-11260,OFF-LA-10000240,2,0.00
2019,CA-2015-1131103,2015-03-19 03:46:30,2015-03-23 03:46:30,BK-11260,OFF-SU-10001165,4,0.00
2020,CA-2015-1131104,2015-03-19 04:38:17,2015-03-23 04:38:17,BK-11260,OFF-PA-10002749,6,0.00
2021,CA-2016-1683541,2016-09-19 09:53:08,2016-09-21 09:53:08,RH-19510,OFF-ST-10001490,9,0.00
2022,CA-2016-1683542,2016-09-19 10:12:05,2016-09-21 10:12:05,RH-19510,OFF-PA-10002377,3,0.00
2023,CA-2016-1683543,2016-09-19 11:25:50,2016-09-21 11:25:50,RH-19510,OFF-BI-10004826,3,0.00
2024,CA-2016-1683544,2016-09-19 12:01:04,2016-09-21 12:01:04,RH-19510,FUR-CH-10004675,4,0.00
2025,US-2017-1112411,2017-08-20 02:52:44,2017-08-22 02:52:44,GM-14500,OFF-BI-10002867,5,0.20
2026,CA-2015-1142371,2015-03-13 02:46:55,2015-03-15 02:46:55,MC-17275,FUR-BO-10004409,2,0.00
2027,CA-2016-1135161,2016-09-08 12:20:30,2016-09-10 12:20:30,VM-21685,OFF-BI-10002225,2,0.20
2028,CA-2016-1135162,2016-09-08 13:06:47,2016-09-10 13:06:47,VM-21685,OFF-BI-10001989,4,0.20
2029,CA-2015-1179611,2015-11-26 00:54:06,2015-11-30 00:54:06,GP-14740,OFF-BI-10000343,3,0.00
2030,CA-2015-1179612,2015-11-26 01:09:51,2015-11-30 01:09:51,GP-14740,OFF-ST-10001172,5,0.00
2031,CA-2015-1179613,2015-11-26 02:48:12,2015-11-30 02:48:12,GP-14740,OFF-BI-10003707,4,0.00
2032,CA-2015-1179614,2015-11-26 03:03:01,2015-11-30 03:03:01,GP-14740,OFF-PA-10001274,3,0.00
2033,CA-2016-1289231,2016-12-09 04:16:09,2016-12-13 04:16:09,GB-14530,OFF-PA-10002250,2,0.20
2034,CA-2016-1289232,2016-12-09 05:54:51,2016-12-13 05:54:51,GB-14530,OFF-AR-10000475,1,0.20
2035,CA-2017-1624811,2017-09-25 10:12:07,2017-09-29 10:12:07,CT-11995,OFF-BI-10002976,2,0.00
2036,CA-2017-1624812,2017-09-25 11:28:19,2017-09-29 11:28:19,CT-11995,FUR-CH-10003061,3,0.00
2037,CA-2015-1192141,2015-01-23 04:04:50,2015-01-27 04:04:50,CW-11905,OFF-PA-10002893,3,0.00
2038,CA-2015-1192142,2015-01-23 05:52:47,2015-01-27 05:52:47,CW-11905,OFF-LA-10003077,2,0.00
2039,CA-2015-1222871,2015-06-18 11:06:07,2015-06-23 11:06:07,SN-20560,OFF-PA-10001661,3,0.20
2040,CA-2015-1222872,2015-06-18 12:28:32,2015-06-23 12:28:32,SN-20560,OFF-BI-10004656,7,0.70
2041,CA-2015-1222873,2015-06-18 13:03:43,2015-06-23 13:03:43,SN-20560,OFF-BI-10003707,2,0.70
2042,CA-2015-1222874,2015-06-18 14:39:45,2015-06-23 14:39:45,SN-20560,FUR-FU-10004973,5,0.20
2043,CA-2015-1044931,2015-10-02 04:53:12,2015-10-08 04:53:12,EB-13705,OFF-BI-10004817,6,0.20
2044,US-2017-1589461,2017-11-18 01:05:11,2017-11-23 01:05:11,JW-15220,OFF-AR-10001860,7,0.20
2045,CA-2014-1291681,2014-08-17 09:49:53,2014-08-23 09:49:53,KB-16585,OFF-PA-10001639,3,0.20
2046,CA-2016-1318351,2016-07-17 11:51:41,2016-07-21 11:51:41,MC-17590,OFF-AP-10004487,2,0.00
2047,CA-2016-1318352,2016-07-17 12:40:34,2016-07-21 12:40:34,MC-17590,TEC-PH-10001760,3,0.00
2048,CA-2016-1318353,2016-07-17 13:13:49,2016-07-21 13:13:49,MC-17590,OFF-PA-10004071,1,0.00
2049,CA-2015-1422371,2015-07-11 07:14:28,2015-07-13 07:14:28,CK-12595,FUR-FU-10004848,7,0.20
2050,CA-2015-1422372,2015-07-11 08:38:21,2015-07-13 08:38:21,CK-12595,OFF-BI-10004022,3,0.70
2051,CA-2015-1422373,2015-07-11 09:51:34,2015-07-13 09:51:34,CK-12595,OFF-BI-10003669,4,0.70
2052,CA-2015-1422374,2015-07-11 10:28:41,2015-07-13 10:28:41,CK-12595,FUR-CH-10003833,8,0.30
2053,CA-2015-1422375,2015-07-11 11:31:31,2015-07-13 11:31:31,CK-12595,OFF-AR-10003732,5,0.20
2054,CA-2015-1422376,2015-07-11 12:05:37,2015-07-13 12:05:37,CK-12595,FUR-FU-10003142,6,0.20
2055,CA-2016-1364341,2016-12-01 02:10:24,2016-12-07 02:10:24,RD-19480,FUR-FU-10001196,3,0.00
2056,CA-2017-1203761,2017-12-22 12:12:06,2017-12-25 12:12:06,TP-21130,TEC-AC-10001114,5,0.00
2057,CA-2017-1203762,2017-12-22 13:26:30,2017-12-25 13:26:30,TP-21130,FUR-CH-10002335,7,0.00
2058,CA-2017-1203763,2017-12-22 14:52:13,2017-12-25 14:52:13,TP-21130,TEC-AC-10000844,1,0.00
2059,CA-2017-1203764,2017-12-22 15:22:44,2017-12-25 15:22:44,TP-21130,FUR-TA-10004534,2,0.00
2060,CA-2014-1064391,2014-10-31 08:30:24,2014-11-04 08:30:24,GG-14650,OFF-FA-10002975,3,0.00
2061,CA-2014-1064392,2014-10-31 09:43:19,2014-11-04 09:43:19,GG-14650,OFF-ST-10003996,5,0.00
2062,CA-2014-1064393,2014-10-31 10:31:48,2014-11-04 10:31:48,GG-14650,OFF-BI-10002571,2,0.20
2063,CA-2014-1064394,2014-10-31 11:26:54,2014-11-04 11:26:54,GG-14650,OFF-PA-10000477,13,0.00
2064,CA-2014-1064395,2014-10-31 12:48:34,2014-11-04 12:48:34,GG-14650,OFF-BI-10004209,3,0.20
2065,CA-2014-1064396,2014-10-31 13:07:53,2014-11-04 13:07:53,GG-14650,OFF-ST-10001963,4,0.00
2066,CA-2014-1064397,2014-10-31 14:12:40,2014-11-04 14:12:40,GG-14650,FUR-CH-10003833,3,0.20
2067,CA-2014-1064398,2014-10-31 15:52:26,2014-11-04 15:52:26,GG-14650,TEC-AC-10004568,9,0.00
2068,CA-2014-1064399,2014-10-31 16:22:51,2014-11-04 16:22:51,GG-14650,OFF-AR-10001419,3,0.00
2069,CA-2015-1334521,2015-04-13 14:23:52,2015-04-19 14:23:52,ZC-21910,TEC-AC-10002800,4,0.00
2070,CA-2015-1334522,2015-04-13 15:32:22,2015-04-19 15:32:22,ZC-21910,FUR-TA-10003954,3,0.20
2071,CA-2016-1465211,2016-07-21 00:44:11,2016-07-23 00:44:11,CC-12610,OFF-BI-10000301,1,0.70
2072,US-2017-1109961,2017-11-20 01:24:29,2017-11-25 01:24:29,KA-16525,FUR-CH-10003956,5,0.20
2073,CA-2016-1296931,2016-11-26 10:10:48,2016-12-02 10:10:48,TC-20980,OFF-BI-10002954,2,0.20
2074,CA-2017-1225041,2017-11-07 11:12:16,2017-11-12 11:12:16,DB-13270,TEC-AC-10003289,3,0.00
2075,CA-2017-1225042,2017-11-07 12:49:12,2017-11-12 12:49:12,DB-13270,TEC-PH-10002468,7,0.20
2076,CA-2014-1310511,2014-12-01 14:55:21,2014-12-05 14:55:21,TR-21325,FUR-FU-10001861,3,0.00
2077,CA-2017-1406761,2017-09-12 04:29:58,2017-09-15 04:29:58,BF-11080,OFF-PA-10004082,5,0.00
2078,CA-2017-1406762,2017-09-12 05:24:11,2017-09-15 05:24:11,BF-11080,OFF-AP-10000358,7,0.00
2079,CA-2017-1406763,2017-09-12 06:30:06,2017-09-15 06:30:06,BF-11080,OFF-PA-10004243,5,0.00
2080,CA-2015-1201031,2015-12-24 00:38:06,2015-12-29 00:38:06,MS-17365,OFF-PA-10001295,7,0.20
2081,CA-2015-1201032,2015-12-24 01:50:33,2015-12-29 01:50:33,MS-17365,TEC-PH-10002170,2,0.20
2082,CA-2015-1201033,2015-12-24 02:02:22,2015-12-29 02:02:22,MS-17365,FUR-FU-10002885,2,0.20
2083,CA-2017-1046471,2017-02-23 14:01:52,2017-03-01 14:01:52,CK-12595,OFF-PA-10002870,6,0.00
2084,CA-2014-1103521,2014-11-23 01:50:40,2014-11-29 01:50:40,ED-13885,OFF-LA-10003923,2,0.20
2085,CA-2016-1405011,2016-06-23 00:19:15,2016-06-28 00:19:15,IM-15070,OFF-LA-10003510,4,0.00
2086,CA-2016-1405012,2016-06-23 01:10:58,2016-06-28 01:10:58,IM-15070,OFF-LA-10000248,5,0.00
2087,CA-2016-1405013,2016-06-23 02:48:44,2016-06-28 02:48:44,IM-15070,OFF-ST-10000060,5,0.00
2088,CA-2016-1405014,2016-06-23 03:53:53,2016-06-28 03:53:53,IM-15070,OFF-PA-10003129,3,0.00
2089,CA-2016-1405015,2016-06-23 04:38:36,2016-06-28 04:38:36,IM-15070,OFF-FA-10004076,2,0.00
2090,CA-2015-1392901,2015-10-26 11:56:48,2015-10-30 11:56:48,MY-17380,OFF-LA-10004008,2,0.00
2091,CA-2017-1661421,2017-07-15 01:55:57,2017-07-19 01:55:57,MM-17260,OFF-BI-10004094,3,0.00
2092,CA-2017-1661422,2017-07-15 02:32:30,2017-07-19 02:32:30,MM-17260,FUR-TA-10004607,3,0.30
2093,CA-2014-1459261,2014-11-17 01:03:37,2014-11-21 01:03:37,MP-17470,FUR-CH-10004289,5,0.00
2094,CA-2015-1496781,2015-04-13 03:56:28,2015-04-15 03:56:28,AW-10840,OFF-SU-10004498,1,0.00
2095,US-2015-1643571,2015-11-25 11:55:48,2015-11-29 11:55:48,SF-20065,OFF-AR-10001177,5,0.20
2096,US-2016-1465701,2016-05-15 03:42:02,2016-05-20 03:42:02,SN-20710,OFF-BI-10001718,8,0.00
2097,US-2016-1465702,2016-05-15 04:44:14,2016-05-20 04:44:14,SN-20710,OFF-AR-10004602,4,0.00
2098,US-2016-1465703,2016-05-15 05:14:01,2016-05-20 05:14:01,SN-20710,OFF-AR-10003856,3,0.00
2099,CA-2017-1244011,2017-09-07 05:54:00,2017-09-12 05:54:00,RD-19900,OFF-ST-10000649,3,0.20
2100,CA-2017-1244012,2017-09-07 06:16:15,2017-09-12 06:16:15,RD-19900,TEC-AC-10002926,7,0.20
2101,US-2014-1401161,2014-03-10 04:57:29,2014-03-17 04:57:29,KT-16480,OFF-ST-10000078,3,0.20
2102,US-2014-1401162,2014-03-10 05:13:24,2014-03-17 05:13:24,KT-16480,OFF-AR-10001044,4,0.20
2103,CA-2014-1232951,2014-07-18 08:18:36,2014-07-18 08:18:36,AH-10120,FUR-CH-10002372,4,0.20
2104,CA-2017-1671011,2017-03-24 04:37:52,2017-03-28 04:37:52,BM-11650,OFF-PA-10000357,4,0.00
2105,CA-2017-1671012,2017-03-24 05:03:17,2017-03-28 05:03:17,BM-11650,TEC-AC-10001266,2,0.00
2106,US-2014-1676331,2014-09-30 14:58:57,2014-10-05 14:58:57,BW-11200,OFF-PA-10004888,3,0.20
2107,US-2014-1527231,2014-09-26 04:39:37,2014-09-26 04:39:37,HG-14965,OFF-BI-10003460,1,0.80
2108,CA-2015-1648821,2015-10-31 05:29:43,2015-10-31 05:29:43,SG-20080,OFF-PA-10000157,1,0.00
2109,CA-2015-1648822,2015-10-31 06:15:43,2015-10-31 06:15:43,SG-20080,OFF-BI-10004519,3,0.20
2110,CA-2015-1648823,2015-10-31 07:39:52,2015-10-31 07:39:52,SG-20080,OFF-AR-10004272,3,0.00
2111,CA-2015-1648824,2015-10-31 08:39:12,2015-10-31 08:39:12,SG-20080,OFF-FA-10000585,5,0.00
2112,CA-2015-1648825,2015-10-31 09:17:30,2015-10-31 09:17:30,SG-20080,FUR-CH-10004218,4,0.20
2113,CA-2015-1648826,2015-10-31 10:09:28,2015-10-31 10:09:28,SG-20080,OFF-SU-10004231,3,0.00
2114,CA-2015-1648827,2015-10-31 11:53:20,2015-10-31 11:53:20,SG-20080,TEC-PH-10001578,4,0.20
2115,CA-2015-1648828,2015-10-31 12:09:28,2015-10-31 12:09:28,SG-20080,OFF-ST-10003638,2,0.00
2116,CA-2015-1648829,2015-10-31 13:32:09,2015-10-31 13:32:09,SG-20080,FUR-BO-10002213,1,0.15
2117,CA-2015-1597861,2015-10-12 05:22:27,2015-10-17 05:22:27,RK-19300,FUR-TA-10001307,1,0.40
2118,CA-2016-1302671,2016-09-19 04:55:25,2016-09-23 04:55:25,SW-20245,OFF-PA-10002222,7,0.00
2119,CA-2017-1554601,2017-04-13 04:58:01,2017-04-15 04:58:01,RW-19630,OFF-PA-10002479,1,0.00
2120,CA-2017-1554602,2017-04-13 05:15:41,2017-04-15 05:15:41,RW-19630,OFF-BI-10003091,5,0.20
2121,US-2017-1686901,2017-01-07 05:13:14,2017-01-13 05:13:14,TS-21085,OFF-BI-10000145,3,0.70
2122,CA-2017-1582461,2017-11-09 00:00:59,2017-11-11 00:00:59,JB-15400,FUR-CH-10003061,3,0.20
2123,CA-2017-1673811,2017-09-22 08:05:04,2017-09-24 08:05:04,EH-14005,FUR-BO-10001972,2,0.00
2124,CA-2017-1673812,2017-09-22 09:41:50,2017-09-24 09:41:50,EH-14005,OFF-LA-10000134,9,0.00
2125,CA-2017-1448621,2017-12-01 13:48:29,2017-12-05 13:48:29,EH-14005,OFF-EN-10003040,5,0.20
2126,CA-2017-1448622,2017-12-01 14:27:43,2017-12-05 14:27:43,EH-14005,TEC-PH-10000923,7,0.40
2127,CA-2014-1260321,2014-06-23 09:39:05,2014-06-28 09:39:05,BS-11665,TEC-AC-10000158,3,0.20
2128,CA-2015-1348591,2015-10-04 00:07:53,2015-10-09 00:07:53,JK-16120,FUR-FU-10003623,3,0.20
2129,CA-2015-1348592,2015-10-04 01:44:10,2015-10-09 01:44:10,JK-16120,OFF-PA-10001293,4,0.20
2130,US-2014-1141881,2014-05-20 09:44:24,2014-05-22 09:44:24,RF-19345,OFF-AP-10000124,4,0.00
2131,US-2014-1141882,2014-05-20 10:56:18,2014-05-22 10:56:18,RF-19345,OFF-AR-10004511,9,0.00
2132,US-2014-1141883,2014-05-20 11:07:04,2014-05-22 11:07:04,RF-19345,FUR-FU-10000076,7,0.00
2133,CA-2015-1565241,2015-11-20 04:10:42,2015-11-26 04:10:42,DL-12865,OFF-PA-10003883,3,0.00
2134,CA-2015-1222101,2015-11-30 06:39:03,2015-12-04 06:39:03,WB-21850,OFF-BI-10003656,3,0.70
2135,CA-2015-1222102,2015-11-30 07:20:46,2015-12-04 07:20:46,WB-21850,OFF-FA-10000053,7,0.20
2136,CA-2015-1222103,2015-11-30 08:58:54,2015-12-04 08:58:54,WB-21850,TEC-PH-10002807,4,0.40
2137,CA-2015-1563771,2015-12-31 10:34:11,2016-01-05 10:34:11,TB-21625,FUR-FU-10002364,5,0.60
2138,CA-2015-1563772,2015-12-31 11:40:54,2016-01-05 11:40:54,TB-21625,OFF-BI-10002954,4,0.80
2139,US-2017-1578961,2017-11-16 10:13:54,2017-11-16 10:13:54,CB-12415,OFF-PA-10004092,3,0.00
2140,CA-2014-1595201,2014-06-06 11:08:28,2014-06-11 11:08:28,GT-14635,OFF-BI-10003982,9,0.20
2141,CA-2014-1595202,2014-06-06 12:40:15,2014-06-11 12:40:15,GT-14635,OFF-SU-10001664,2,0.00
2142,CA-2014-1595203,2014-06-06 13:51:36,2014-06-11 13:51:36,GT-14635,FUR-TA-10003238,3,0.40
2143,CA-2016-1554811,2016-09-01 02:24:41,2016-09-05 02:24:41,DK-13225,OFF-PA-10004675,6,0.20
2144,CA-2016-1554812,2016-09-01 03:28:55,2016-09-05 03:28:55,DK-13225,TEC-PH-10002293,2,0.40
2145,CA-2016-1554813,2016-09-01 04:36:00,2016-09-05 04:36:00,DK-13225,OFF-FA-10002780,7,0.20
2146,US-2016-1520511,2016-06-25 01:21:41,2016-06-29 01:21:41,TS-21160,FUR-CH-10002965,3,0.30
2147,US-2016-1520512,2016-06-25 02:04:19,2016-06-29 02:04:19,TS-21160,OFF-BI-10004781,4,0.70
2148,US-2016-1520513,2016-06-25 03:00:16,2016-06-29 03:00:16,TS-21160,OFF-ST-10001713,6,0.20
2149,CA-2014-1416071,2014-12-12 05:51:14,2014-12-17 05:51:14,WB-21850,FUR-FU-10003975,1,0.00
2150,CA-2017-1027711,2017-03-31 12:42:00,2017-04-05 12:42:00,DO-13435,TEC-PH-10001536,5,0.00
2151,US-2017-1399691,2017-11-19 10:41:48,2017-11-26 10:41:48,AF-10870,FUR-CH-10001973,3,0.30
2152,CA-2014-1673601,2014-11-24 02:33:59,2014-11-29 02:33:59,RB-19435,TEC-AC-10001772,7,0.00
2153,CA-2015-1235051,2015-11-22 14:12:31,2015-11-26 14:12:31,AR-10540,OFF-PA-10002586,3,0.00
2154,CA-2016-1172821,2016-07-14 00:25:07,2016-07-18 00:25:07,DR-12880,OFF-BI-10004094,2,0.20
2155,US-2016-1204601,2016-04-30 05:52:05,2016-05-05 05:52:05,BF-11170,FUR-FU-10004973,3,0.60
2156,CA-2016-1111151,2016-07-25 12:27:28,2016-07-27 12:27:28,LB-16735,OFF-FA-10000624,6,0.00
2157,CA-2014-1246461,2014-06-22 04:35:43,2014-06-24 04:35:43,DV-13465,OFF-ST-10001097,3,0.00
2158,CA-2014-1246462,2014-06-22 05:12:10,2014-06-24 05:12:10,DV-13465,OFF-ST-10001469,3,0.00
2159,CA-2017-1481661,2017-10-21 07:44:01,2017-10-26 07:44:01,NK-18490,OFF-AR-10004956,4,0.20
2160,CA-2016-1597371,2016-09-03 09:29:58,2016-09-09 09:29:58,CS-11950,OFF-BI-10004236,3,0.80
2161,CA-2016-1410191,2016-05-14 06:40:57,2016-05-14 06:40:57,LH-17155,FUR-FU-10002937,1,0.20
2162,CA-2016-1019381,2016-01-07 12:03:03,2016-01-12 12:03:03,DW-13480,OFF-AR-10003696,1,0.00
2163,CA-2017-1662961,2017-03-13 00:03:37,2017-03-19 00:03:37,KF-16285,OFF-PA-10004359,3,0.00
2164,CA-2016-1540181,2016-10-13 01:52:14,2016-10-19 01:52:14,HA-14920,TEC-AC-10002402,3,0.20
2165,CA-2016-1540182,2016-10-13 02:53:28,2016-10-19 02:53:28,HA-14920,OFF-PA-10000551,2,0.20
2166,CA-2016-1540183,2016-10-13 03:49:27,2016-10-19 03:49:27,HA-14920,FUR-FU-10003394,5,0.60
2167,CA-2016-1540184,2016-10-13 04:13:35,2016-10-19 04:13:35,HA-14920,OFF-AR-10002067,1,0.20
2168,CA-2016-1540185,2016-10-13 05:38:19,2016-10-19 05:38:19,HA-14920,OFF-BI-10004140,7,0.80
2169,CA-2017-1178701,2017-01-27 07:09:32,2017-01-30 07:09:32,JH-15820,OFF-AR-10004078,3,0.20
2170,CA-2017-1178702,2017-01-27 08:13:13,2017-01-30 08:13:13,JH-15820,TEC-AC-10000927,3,0.20
2171,CA-2017-1178703,2017-01-27 09:18:21,2017-01-30 09:18:21,JH-15820,TEC-PH-10003931,3,0.40
2172,US-2017-1374911,2017-11-19 12:36:23,2017-11-25 12:36:23,LC-16930,FUR-CH-10004675,2,0.30
2173,CA-2014-1522961,2014-08-01 03:17:00,2014-08-03 03:17:00,IL-15100,OFF-BI-10004506,3,0.20
2174,CA-2016-1120251,2016-07-30 01:29:35,2016-08-04 01:29:35,LS-16975,OFF-BI-10002353,3,0.80
2175,CA-2015-1325071,2015-07-30 13:55:51,2015-08-03 13:55:51,CC-12610,OFF-ST-10000943,4,0.20
2176,CA-2016-1257381,2016-10-15 01:46:50,2016-10-21 01:46:50,PB-18805,OFF-PA-10000740,2,0.00
2177,CA-2016-1257382,2016-10-15 02:24:09,2016-10-21 02:24:09,PB-18805,OFF-PA-10003001,9,0.00
2178,CA-2016-1257383,2016-10-15 03:34:00,2016-10-21 03:34:00,PB-18805,OFF-BI-10001628,5,0.20
2179,CA-2016-1257384,2016-10-15 04:39:29,2016-10-21 04:39:29,PB-18805,OFF-PA-10001509,8,0.00
2180,CA-2016-1288181,2016-05-07 01:56:02,2016-05-11 01:56:02,CJ-12010,OFF-BI-10000309,7,0.20
2181,CA-2016-1288182,2016-05-07 02:27:07,2016-05-11 02:27:07,CJ-12010,OFF-LA-10003923,3,0.00
2182,CA-2016-1288183,2016-05-07 03:45:22,2016-05-11 03:45:22,CJ-12010,FUR-CH-10002084,4,0.10
2183,CA-2016-1288184,2016-05-07 04:17:18,2016-05-11 04:17:18,CJ-12010,TEC-MA-10000488,5,0.00
2184,CA-2016-1288185,2016-05-07 05:06:44,2016-05-11 05:06:44,CJ-12010,TEC-AC-10001767,5,0.00
